Google: 153 3  	 Gene:60 4
Google: 286 2  	 Gene:286 1
Google: 283 2  	 Gene:125 3
Google: 225 1  	 Gene:225 2
Google: 212 3  	 Gene:343 2
Google: 178 3  	 Gene:266 1
Google: 121 4  	 Gene:271 2
Google: 252 3  	 Gene:84 4
Google: 149 3  	 Gene:241 2
Google: 106 3  	 Gene:332 2
Google: 62 4  	 Gene:220 1
Google: 167 2  	 Gene:167 1
Google: 95 4  	 Gene:413 1
Google: 150 4  	 Gene:175 1
Google: 66 4  	 Gene:240 2
Google: 145 4  	 Gene:359 3
Google: 173 1  	 Gene:61 4
Google: 171 1  	 Gene:82 3
Google: 154 1  	 Gene:68 4
Google: 187 1  	 Gene:63 3
Google: 165 1  	 Gene:50 3
Google: 166 3  	 Gene:74 4
Google: 198 3  	 Gene:137 4
Google: 232 3  	 Gene:85 4
Google: 304 3  	 Gene:97 4
Google: 276 3  	 Gene:60 4
Google: 266 1  	 Gene:64 4
Google: 244 1  	 Gene:59 4
Google: 314 2  	 Gene:107 3
Google: 210 3  	 Gene:93 4
Google: 245 1  	 Gene:75 4
Google: 102 4  	 Gene:241 1
Google: 154 1  	 Gene:68 4
Google: 200 1  	 Gene:71 4
Google: 173 3  	 Gene:58 4
Google: 174 1  	 Gene:104 4
Google: 144 1  	 Gene:47 4
Google: 222 3  	 Gene:122 4
Google: 100 4  	 Gene:214 1
Google: 232 2  	 Gene:232 1
Google: 97 3  	 Gene:305 2
Google: 135 4  	 Gene:229 1
Google: 98 4  	 Gene:260 3
Google: 210 2  	 Gene:210 1
Google: 118 4  	 Gene:266 3
Google: 192 3  	 Gene:80 4
Google: 199 3  	 Gene:108 4
Google: 238 2  	 Gene:152 3
Google: 196 3  	 Gene:79 4
Google: 285 1  	 Gene:136 3
Google: 120 4  	 Gene:328 3
Google: 271 1  	 Gene:154 4
Google: 132 4  	 Gene:272 2
Google: 236 1  	 Gene:160 3
Google: 239 1  	 Gene:115 4
Google: 166 4  	 Gene:300 2
Google: 164 3  	 Gene:35 4
Google: 194 3  	 Gene:44 4
Google: 323 3  	 Gene:39 4
Google: 236 3  	 Gene:27 4
Google: 235 3  	 Gene:34 4
Google: 91 4  	 Gene:197 3
Google: 143 4  	 Gene:219 2
Google: 192 2  	 Gene:160 3
Google: 105 4  	 Gene:197 3
Google: 133 3  	 Gene:143 2
Google: 229 3  	 Gene:82 4
Google: 189 3  	 Gene:280 2
Google: 197 4  	 Gene:308 3
Google: 223 3  	 Gene:71 4
Google: 284 3  	 Gene:145 4
Google: 182 1  	 Gene:77 3
Google: 156 2  	 Gene:73 3
Google: 194 2  	 Gene:86 3
Google: 174 1  	 Gene:66 3
Google: 203 1  	 Gene:72 3
Google: 309 3  	 Gene:68 4
Google: 186 1  	 Gene:186 2
Google: 355 3  	 Gene:129 4
Google: 234 1  	 Gene:234 3
Google: 229 1  	 Gene:229 2
Google: 198 1  	 Gene:198 2
Google: 216 2  	 Gene:216 1
Google: 231 1  	 Gene:231 2
Google: 221 1  	 Gene:178 3
Google: 283 2  	 Gene:283 1
Google: 149 2  	 Gene:109 3
Google: 228 1  	 Gene:40 4
Google: 200 3  	 Gene:38 4
Google: 163 3  	 Gene:39 4
Google: 164 3  	 Gene:41 4
Google: 160 3  	 Gene:55 4
Google: 174 1  	 Gene:97 3
Google: 300 1  	 Gene:87 4
Google: 244 3  	 Gene:96 4
Google: 233 3  	 Gene:103 4
Google: 220 1  	 Gene:220 2
Google: 99 4  	 Gene:178 3
Google: 101 3  	 Gene:167 2
Google: 154 3  	 Gene:211 2
Google: 144 3  	 Gene:315 1
Google: 131 3  	 Gene:244 2
Google: 139 4  	 Gene:242 1
Google: 108 4  	 Gene:207 3
Google: 86 3  	 Gene:147 1
Google: 189 3  	 Gene:75 4
Google: 227 3  	 Gene:74 4
Google: 247 3  	 Gene:95 4
Google: 284 3  	 Gene:149 4
Google: 235 3  	 Gene:81 4
Google: 142 2  	 Gene:141 3
Google: 107 4  	 Gene:199 3
Google: 393 3  	 Gene:143 4
Google: 191 1  	 Gene:128 3
Google: 185 1  	 Gene:185 2
Google: 128 3  	 Gene:200 2
Google: 271 2  	 Gene:271 1
Google: 152 4  	 Gene:208 1
Google: 234 2  	 Gene:234 1
Google: 118 4  	 Gene:215 1
Google: 128 3  	 Gene:184 1
Google: 333 3  	 Gene:177 4
Google: 121 4  	 Gene:242 1
Google: 123 4  	 Gene:232 1
Google: 183 3  	 Gene:116 4
Google: 162 3  	 Gene:202 2
Google: 120 4  	 Gene:389 3
Google: 253 2  	 Gene:253 1
Google: 129 4  	 Gene:386 3
Google: 247 2  	 Gene:165 3
Google: 131 4  	 Gene:252 3
Google: 206 1  	 Gene:206 2
Google: 231 1  	 Gene:231 2
Google: 171 1  	 Gene:171 2
Google: 212 1  	 Gene:212 2
Google: 211 2  	 Gene:211 1
Google: 215 1  	 Gene:215 2
Google: 324 3  	 Gene:127 4
Google: 157 3  	 Gene:219 1
Google: 142 4  	 Gene:162 3
Google: 258 3  	 Gene:126 4
Google: 227 2  	 Gene:206 3
Google: 165 1  	 Gene:59 3
Google: 130 1  	 Gene:82 4
Google: 182 1  	 Gene:78 4
Google: 187 1  	 Gene:187 2
Google: 178 1  	 Gene:34 4
Google: 185 3  	 Gene:96 4
Google: 144 4  	 Gene:451 3
Google: 294 2  	 Gene:164 3
Google: 233 2  	 Gene:173 3
Google: 237 1  	 Gene:121 4
Google: 176 1  	 Gene:140 4
Google: 243 2  	 Gene:177 3
Google: 153 3  	 Gene:155 1
Google: 132 4  	 Gene:160 2
Google: 146 4  	 Gene:205 2
Google: 245 3  	 Gene:147 4
Google: 87 4  	 Gene:216 1
Google: 200 3  	 Gene:114 4
Google: 217 3  	 Gene:110 4
Google: 158 4  	 Gene:241 2
Google: 67 4  	 Gene:163 3
Google: 101 4  	 Gene:173 2
Google: 77 4  	 Gene:226 1
Google: 72 4  	 Gene:337 3
Google: 221 1  	 Gene:205 3
Google: 245 1  	 Gene:127 4
Google: 162 4  	 Gene:352 3
Google: 228 3  	 Gene:122 4
Google: 197 1  	 Gene:188 3
Google: 21 4  	 Gene:203 1
Google: 57 4  	 Gene:194 2
Google: 36 4  	 Gene:200 1
Google: 21 4  	 Gene:202 1
Google: 38 4  	 Gene:196 2
Google: 186 2  	 Gene:186 1
Google: 167 1  	 Gene:134 3
Google: 203 1  	 Gene:203 2
Google: 219 3  	 Gene:256 2
Google: 195 1  	 Gene:195 2
Google: 200 3  	 Gene:92 4
Google: 271 3  	 Gene:86 4
Google: 191 3  	 Gene:86 4
Google: 199 3  	 Gene:69 4
Google: 261 1  	 Gene:116 4
Google: 46 4  	 Gene:200 3
Google: 55 4  	 Gene:254 3
Google: 56 4  	 Gene:260 3
Google: 83 4  	 Gene:299 3
Google: 84 4  	 Gene:312 3
Google: 281 3  	 Gene:218 4
Google: 311 1  	 Gene:311 2
Google: 232 1  	 Gene:143 3
Google: 233 1  	 Gene:233 2
Google: 361 1  	 Gene:249 3
Google: 80 3  	 Gene:257 2
Google: 208 1  	 Gene:208 2
Google: 307 1  	 Gene:307 2
Google: 220 1  	 Gene:220 2
Google: 180 1  	 Gene:125 3
Google: 134 1  	 Gene:103 3
Google: 241 1  	 Gene:138 3
Google: 174 1  	 Gene:174 2
Google: 169 1  	 Gene:169 2
Google: 157 1  	 Gene:153 3
Google: 116 1  	 Gene:116 2
Google: 170 1  	 Gene:120 3
Google: 125 3  	 Gene:247 2
Google: 159 3  	 Gene:106 4
Google: 264 1  	 Gene:75 4
Google: 233 3  	 Gene:108 4
Google: 228 3  	 Gene:94 4
Google: 154 3  	 Gene:98 4
Google: 46 3  	 Gene:206 2
Google: 286 1  	 Gene:286 2
Google: 203 3  	 Gene:214 1
Google: 203 2  	 Gene:203 1
Google: 203 1  	 Gene:203 2
Google: 198 2  	 Gene:198 1
Google: 57 3  	 Gene:181 1
Google: 239 1  	 Gene:159 3
Google: 238 1  	 Gene:238 2
Google: 211 1  	 Gene:169 3
Google: 262 1  	 Gene:262 2
Google: 199 1  	 Gene:199 2
Google: 168 1  	 Gene:154 3
Google: 268 3  	 Gene:124 4
Google: 213 3  	 Gene:161 4
Google: 272 3  	 Gene:167 4
Google: 201 3  	 Gene:157 4
Google: 264 1  	 Gene:142 4
Google: 293 3  	 Gene:106 4
Google: 187 1  	 Gene:187 2
Google: 179 1  	 Gene:107 4
Google: 168 3  	 Gene:210 2
Google: 237 4  	 Gene:351 3
Google: 292 3  	 Gene:92 4
Google: 348 1  	 Gene:169 3
Google: 377 3  	 Gene:100 4
Google: 291 2  	 Gene:133 3
Google: 33 3  	 Gene:123 2
Google: 30 3  	 Gene:206 2
Google: 41 3  	 Gene:175 2
Google: 35 4  	 Gene:67 2
Google: 52 3  	 Gene:120 2
